DateTime;ticker;last_price
2025-03-19 18:31:21;CRM5;12.164
2025-03-19 18:31:21;GZM5;17809
2025-03-19 18:31:21;SRM5;34304
2025-03-19 18:32:22;RIM5;120550
2025-03-19 18:32:22;SiM5;88760
2025-03-19 18:32:22;CRM5;12.162
2025-03-19 18:32:22;GZM5;17794
2025-03-19 18:32:22;SRM5;34312
2025-03-19 18:33:24;RIM5;120540
2025-03-19 18:33:24;SiM5;88760
2025-03-19 18:33:24;CRM5;12.161
2025-03-19 18:33:24;GZM5;17795
2025-03-19 18:33:24;SRM5;34314
2025-03-19 18:34:26;RIM5;120550
2025-03-19 18:34:26;SiM5;88760
2025-03-19 18:34:26;CRM5;12.164
2025-03-19 18:34:26;GZM5;17799
2025-03-19 18:34:26;SRM5;34306
2025-03-19 18:35:27;RIM5;120570
2025-03-19 18:35:27;SiM5;88760
2025-03-19 18:35:27;CRM5;12.154
2025-03-19 18:35:27;GZM5;17800
2025-03-19 18:35:27;SRM5;34312
2025-03-19 18:36:29;RIM5;120630
2025-03-19 18:36:29;SiM5;88688
2025-03-19 18:36:29;CRM5;12.146
2025-03-19 18:36:29;GZM5;17800
2025-03-19 18:36:29;SRM5;34315
2025-03-19 18:37:40;RIM5;120750
2025-03-19 18:37:40;SiM5;88611
2025-03-19 18:37:40;CRM5;12.13
2025-03-19 18:37:40;GZM5;17800
2025-03-19 18:37:40;SRM5;34324
2025-03-19 18:38:42;RIM5;120810
2025-03-19 18:38:42;SiM5;88609
2025-03-19 18:38:42;CRM5;12.125
2025-03-19 18:38:42;GZM5;17800
2025-03-19 18:38:42;SRM5;34329
2025-03-19 18:39:43;RIM5;120770
2025-03-19 18:39:43;SiM5;88664
2025-03-19 18:39:43;CRM5;12.142
2025-03-19 18:39:43;GZM5;17819
2025-03-19 18:39:43;SRM5;34324
2025-03-19 18:40:45;RIM5;120780
2025-03-19 18:40:45;SiM5;88639
2025-03-19 18:40:45;CRM5;12.136
2025-03-19 18:40:45;GZM5;17824
2025-03-19 18:40:45;SRM5;34320
2025-03-19 19:12:56;RIM5;121410
2025-03-19 19:12:56;SiM5;88424
2025-03-19 19:12:56;CRM5;12.117
2025-03-19 19:12:56;GZM5;17876
2025-03-19 19:12:56;SRM5;34372
2025-03-19 19:14:00;RIM5;121360
2025-03-19 19:14:00;SiM5;88471
2025-03-19 19:14:00;CRM5;12.127
2025-03-19 19:14:00;GZM5;17876
2025-03-19 19:14:00;SRM5;34367
2025-03-19 19:15:03;RIM5;121320
2025-03-19 19:15:03;SiM5;88473
2025-03-19 19:15:03;CRM5;12.121
2025-03-19 19:15:03;GZM5;17892
2025-03-19 19:15:03;SRM5;34350
2025-03-19 19:16:05;RIM5;121370
2025-03-19 19:16:05;SiM5;88433
2025-03-19 19:16:05;CRM5;12.119
2025-03-19 19:16:05;GZM5;17880
2025-03-19 19:16:05;SRM5;34342
2025-03-19 19:17:08;RIM5;121390
2025-03-19 19:17:08;SiM5;88434
2025-03-19 19:17:08;CRM5;12.125
2025-03-19 19:17:08;GZM5;17864
2025-03-19 19:17:08;SRM5;34330
2025-03-19 19:18:11;RIM5;121360
2025-03-19 19:18:11;SiM5;88438
2025-03-19 19:18:11;CRM5;12.125
2025-03-19 19:18:11;GZM5;17868
2025-03-19 19:18:11;SRM5;34325
2025-03-19 19:19:14;RIM5;121290
2025-03-19 19:19:14;SiM5;88401
2025-03-19 19:19:14;CRM5;12.125
2025-03-19 19:19:14;GZM5;17852
2025-03-19 19:19:14;SRM5;34321
2025-03-19 19:20:16;RIM5;121290
2025-03-19 19:20:16;SiM5;88450
2025-03-19 19:20:16;CRM5;12.132
2025-03-19 19:20:16;GZM5;17861
2025-03-19 19:20:16;SRM5;34309
2025-03-19 19:21:22;RIM5;121330
2025-03-19 19:21:22;SiM5;88443
2025-03-19 19:21:22;CRM5;12.127
2025-03-19 19:21:22;GZM5;17861
2025-03-19 19:21:22;SRM5;34318
2025-03-19 19:22:24;RIM5;121310
2025-03-19 19:22:24;SiM5;88444
2025-03-19 19:22:24;CRM5;12.128
2025-03-19 19:22:24;GZM5;17882
2025-03-19 19:22:24;SRM5;34319
2025-03-19 19:23:27;RIM5;121440
2025-03-19 19:23:27;SiM5;88437
2025-03-19 19:23:27;CRM5;12.129
2025-03-19 19:23:27;GZM5;17882
2025-03-19 19:23:27;SRM5;34329
2025-03-19 19:24:30;RIM5;121480
2025-03-19 19:24:30;SiM5;88452
2025-03-19 19:24:30;CRM5;12.128
2025-03-19 19:24:30;GZM5;17892
2025-03-19 19:24:30;SRM5;34340
2025-03-19 19:25:34;RIM5;121490
2025-03-19 19:25:34;SiM5;88492
2025-03-19 19:25:34;CRM5;12.131
2025-03-19 19:25:34;GZM5;17934
2025-03-19 19:25:34;SRM5;34350
2025-03-19 19:26:36;RIM5;121460
2025-03-19 19:26:36;SiM5;88513
2025-03-19 19:26:36;CRM5;12.137
2025-03-19 19:26:36;GZM5;17933
2025-03-19 19:26:36;SRM5;34356
2025-03-19 19:27:40;RIM5;121460
2025-03-19 19:27:40;SiM5;88527
2025-03-19 19:27:40;CRM5;12.14
2025-03-19 19:27:40;GZM5;17926
2025-03-19 19:27:40;SRM5;34356
2025-03-19 19:28:43;RIM5;121390
2025-03-19 19:28:43;SiM5;88549
2025-03-19 19:28:43;CRM5;12.147
2025-03-19 19:28:43;GZM5;17923
2025-03-19 19:28:43;SRM5;34339
2025-03-19 19:29:46;RIM5;121320
2025-03-19 19:29:46;SiM5;88580
2025-03-19 19:29:46;CRM5;12.152
2025-03-19 19:29:46;GZM5;17925
2025-03-19 19:29:46;SRM5;34360
2025-03-19 19:30:48;RIM5;121280
2025-03-19 19:30:48;SiM5;88617
2025-03-19 19:30:48;CRM5;12.146
2025-03-19 19:30:48;GZM5;17916
2025-03-19 19:30:48;SRM5;34378
2025-03-19 19:31:51;RIM5;121260
2025-03-19 19:31:51;SiM5;88652
2025-03-19 19:31:51;CRM5;12.146
2025-03-19 19:31:51;GZM5;17922
2025-03-19 19:31:51;SRM5;34378
2025-03-19 19:32:53;RIM5;121240
2025-03-19 19:32:53;SiM5;88666
2025-03-19 19:32:53;CRM5;12.145
2025-03-19 19:32:53;GZM5;17919
2025-03-19 19:32:53;SRM5;34377
2025-03-19 19:33:55;RIM5;121150
2025-03-19 19:33:55;SiM5;88685
2025-03-19 19:33:55;CRM5;12.144
2025-03-19 19:33:55;GZM5;17917
2025-03-19 19:33:55;SRM5;34371
2025-03-19 19:34:58;RIM5;121100
2025-03-19 19:34:58;SiM5;88714
2025-03-19 19:34:58;CRM5;12.144
2025-03-19 19:34:58;GZM5;17904
2025-03-19 19:34:58;SRM5;34365
2025-03-19 19:36:01;RIM5;121090
2025-03-19 19:36:01;SiM5;88674
2025-03-19 19:36:01;CRM5;12.146
2025-03-19 19:36:01;GZM5;17893
2025-03-19 19:36:01;SRM5;34366
2025-03-19 19:37:04;RIM5;121140
2025-03-19 19:37:04;SiM5;88692
2025-03-19 19:37:04;CRM5;12.143
2025-03-19 19:37:04;GZM5;17890
2025-03-19 19:37:04;SRM5;34361
2025-03-19 19:38:06;RIM5;121170
2025-03-19 19:38:06;SiM5;88662
2025-03-19 19:38:06;CRM5;12.14
2025-03-19 19:38:06;GZM5;17891
2025-03-19 19:38:06;SRM5;34368
2025-03-19 19:39:09;RIM5;121190
2025-03-19 19:39:09;SiM5;88628
2025-03-19 19:39:09;CRM5;12.134
2025-03-19 19:39:09;GZM5;17890
2025-03-19 19:39:09;SRM5;34374
2025-03-19 19:40:12;RIM5;121250
2025-03-19 19:40:12;SiM5;88601
2025-03-19 19:40:12;CRM5;12.127
2025-03-19 19:40:12;GZM5;17894
2025-03-19 19:40:12;SRM5;34379
2025-03-19 19:41:17;RIM5;121290
2025-03-19 19:41:17;SiM5;88605
2025-03-19 19:41:17;CRM5;12.125
2025-03-19 19:41:17;GZM5;17901
2025-03-19 19:41:17;SRM5;34380
2025-03-19 19:42:19;RIM5;121270
2025-03-19 19:42:19;SiM5;88600
2025-03-19 19:42:19;CRM5;12.123
2025-03-19 19:42:19;GZM5;17907
2025-03-19 19:42:19;SRM5;34380
2025-03-19 19:43:22;RIM5;121200
2025-03-19 19:43:22;SiM5;88609
2025-03-19 19:43:22;CRM5;12.127
2025-03-19 19:43:22;GZM5;17906
2025-03-19 19:43:22;SRM5;34366
2025-03-19 19:44:24;RIM5;121270
2025-03-19 19:44:24;SiM5;88593
2025-03-19 19:44:24;CRM5;12.133
2025-03-19 19:44:24;GZM5;17907
2025-03-19 19:44:24;SRM5;34378
